trade_date,open,high,low,close,vol
2024-01-02,1715.0,1718.19,1678.1,1685.01,32156
2024-01-03,1681.11,1695.22,1676.33,1694.0,20229
2024-01-04,1693.0,1693.0,1662.93,1669.0,21551
2024-01-05,1661.33,1678.66,1652.11,1663.36,20243
2024-01-08,1661.0,1662.0,1640.01,1643.99,25586
2024-01-09,1641.01,1652.32,1635.07,1641.0,24412
2024-01-10,1641.1,1659.46,1638.0,1641.5,17351
2024-01-11,1640.1,1657.94,1638.06,1646.57,16441
2024-01-12,1639.97,1651.26,1639.4,1643.06,11603
2024-01-15,1635.0,1654.97,1634.45,1640.0,17854
2024-01-16,1638.5,1647.0,1624.94,1639.43,25903
2024-01-17,1630.0,1635.48,1577.0,1577.0,51633
2024-01-18,1574.0,1612.8,1555.55,1610.87,60440
2024-01-19,1608.87,1638.01,1600.88,1635.0,46378
2024-01-22,1629.0,1643.0,1618.88,1642.0,46946
2024-01-23,1632.01,1639.95,1609.0,1619.0,34835
2024-01-24,1629.0,1633.84,1603.56,1626.0,33216
2024-01-25,1626.82,1641.0,1622.0,1638.0,31206
2024-01-26,1630.36,1644.1,1623.0,1637.32,26955
2024-01-29,1640.3,1660.58,1640.29,1650.0,31421
2024-01-30,1649.98,1649.98,1610.0,1613.0,30866
2024-01-31,1613.0,1619.97,1598.13,1604.91,29649
2024-02-01,1605.5,1623.89,1601.0,1610.03,26485
2024-02-02,1615.0,1627.78,1581.0,1596.0,39382
2024-02-05,1596.0,1637.44,1595.25,1630.01,53130
2024-02-06,1630.01,1685.48,1626.1,1676.0,52472
2024-02-07,1681.03,1714.59,1661.61,1710.99,52601
2024-02-08,1720.01,1725.0,1685.0,1706.0,46757
2024-02-19,1737.87,1737.93,1688.0,1695.43,36977
2024-02-20,1697.36,1697.36,1656.56,1670.0,34470
2024-02-21,1666.02,1731.0,1662.0,1717.66,46154
2024-02-22,1707.5,1723.01,1700.53,1718.38,22794
2024-02-23,1711.11,1724.38,1700.02,1714.09,27306
2024-02-26,1708.0,1708.74,1685.02,1694.98,27318
2024-02-27,1683.0,1692.92,1678.0,1689.5,22080
2024-02-28,1688.92,1696.57,1674.01,1681.55,31867
2024-02-29,1681.55,1696.5,1679.2,1695.0,24758
2024-03-01,1690.0,1694.97,1676.68,1685.06,26868
2024-03-04,1679.0,1680.99,1670.05,1676.3,26485
2024-03-05,1670.81,1697.0,1666.68,1695.1,36238
2024-03-06,1691.0,1695.0,1678.02,1680.55,22142
2024-03-07,1680.0,1689.8,1678.0,1683.63,21599
2024-03-08,1680.56,1686.68,1670.05,1671.43,22156
2024-03-11,1675.0,1698.88,1673.18,1694.49,29895
2024-03-12,1693.94,1749.1,1690.5,1745.0,54227
2024-03-13,1739.97,1748.0,1720.1,1727.45,26500
2024-03-14,1719.0,1734.84,1711.5,1716.63,19405
2024-03-15,1712.5,1732.4,1712.0,1717.49,17834
2024-03-18,1715.0,1719.85,1699.0,1708.26,26055
2024-03-19,1703.0,1719.94,1693.11,1708.02,23948
2024-03-20,1703.36,1713.68,1700.23,1709.6,15249
2024-03-21,1708.1,1719.0,1704.5,1709.0,16596
2024-03-22,1705.03,1708.99,1688.0,1701.35,25456
2024-03-25,1698.54,1698.77,1680.58,1689.01,24473
2024-03-26,1687.46,1712.8,1687.46,1709.29,28069
2024-03-27,1705.0,1712.0,1699.0,1701.0,18113
2024-03-28,1695.0,1718.0,1693.2,1701.64,24642
2024-03-29,1701.64,1710.99,1698.1,1702.9,13457
